Year,Major_Activities,Country,Percentage,Tourist_Arrivals,Continent
2019,Sightseeing In The Cities,Singapore,74.5,10163882,Southeast Asia
2019,Sightseeing In The Cities,Thailand,93,1884306,Southeast Asia
2019,Sightseeing In The Cities,Indonesia,84,3623277,Southeast Asia
2019,Sightseeing In The Cities,Brunei,90.8,1216123,Southeast Asia
2019,Sightseeing In The Cities,Philippines,96.7,421908,Southeast Asia
2019,Sightseeing In The Cities,Vietnam,99.6,400346,Southeast Asia
2019,Sightseeing In The Cities,China,97.5,3114257,East Asia
2019,Sightseeing In The Cities,Japan,93.5,424694,East Asia
2019,Sightseeing In The Cities,South Korea,97.1,673065,East Asia
2019,Sightseeing In The Cities,Taiwan,98.2,382916,East Asia
2019,Sightseeing In The Cities,India,95.4,735309,South Asia
2019,Sightseeing In The Cities,Pakistan,93.6,105757,South Asia
2019,Sightseeing In The Cities,Saudi Arabia,98.8,121444,West Asia
2019,Sightseeing In The Cities,United Arab Emirates,98.8,11174,West Asia
2019,Sightseeing In The Cities,Oman,98.4,23911,West Asia
2019,Sightseeing In The Cities,Kuwait,94.7,9632,West Asia
2019,Sightseeing In The Cities,Iran,97.2,46559,West Asia
2019,Sightseeing In The Cities,Canada,96.1,87568,America
2019,Sightseeing In The Cities,United States of America,95.8,269928,America
2019,Sightseeing In The Cities,United Kingdom,95.6,346485,Europe
2019,Sightseeing In The Cities,Ireland,92.5,19696,Europe
2019,Sightseeing In The Cities,Sweden,97.3,29592,Europe
2019,Sightseeing In The Cities,Denmark,92.6,22314,Europe
2019,Sightseeing In The Cities,Finland,91.4,13557,Europe
2019,Sightseeing In The Cities,Norway,85.5,14585,Europe
2019,Sightseeing In The Cities,Italy,94.5,54710,Europe
2019,Sightseeing In The Cities,Spain,95.9,43616,Europe
2019,Sightseeing In The Cities,France,94.2,141661,Europe
2019,Sightseeing In The Cities,Belgium,98.2,22082,Europe
2019,Sightseeing In The Cities,Netherlands,96.4,82110,Europe
2019,Sightseeing In The Cities,Germany,95.8,130221,Europe
2019,Sightseeing In The Cities,Switzerland,97.1,25659,Europe
2019,Sightseeing In The Cities,Russia,96.2,79984,Europe
2019,Sightseeing In The Cities,Australia,94.4,368271,Non Southeast Asia
2019,Sightseeing In The Cities,New Zealand,82.4,50140,Non Southeast Asia
2019,Sightseeing In The Cities,South Africa,96.3,22674,Non Southeast Asia
2019,Sightseeing In The Cities,Central Asia,95.2,35931,Non Southeast Asia
2019,Sightseeing In The Cities,Other ASEAN,97.9,170309,Southeast Asia
2019,Sightseeing In The Cities,Other East Asia,91.7,5331,East Asia
2019,Sightseeing In The Cities,Other South Asia,93.3,254822,South Asia
2019,Sightseeing In The Cities,Other West Asia,99.5,96504,West Asia
2019,Sightseeing In The Cities,Other Americas,86.1,49226,America
2019,Sightseeing In The Cities,Other Europe,95.6,155032,Europe
2019,Sightseeing In The Cities,Others,97.4,150216,Non Southeast Asia
2019,Visiting Island & Beaches,Singapore,20.2,10163882,Southeast Asia
2019,Visiting Island & Beaches,Thailand,18.8,1884306,Southeast Asia
2019,Visiting Island & Beaches,Indonesia,7.3,3623277,Southeast Asia
2019,Visiting Island & Beaches,Brunei,20.7,1216123,Southeast Asia
2019,Visiting Island & Beaches,Philippines,25.7,421908,Southeast Asia
2019,Visiting Island & Beaches,Vietnam,9.1,400346,Southeast Asia
2019,Visiting Island & Beaches,China,50.8,3114257,East Asia
2019,Visiting Island & Beaches,Japan,17.9,424694,East Asia
2019,Visiting Island & Beaches,South Korea,52.9,673065,East Asia
2019,Visiting Island & Beaches,Taiwan,81.8,382916,East Asia
2019,Visiting Island & Beaches,India,10.8,735309,South Asia
2019,Visiting Island & Beaches,Pakistan,32.9,105757,South Asia
2019,Visiting Island & Beaches,Saudi Arabia,47.8,121444,West Asia
2019,Visiting Island & Beaches,United Arab Emirates,38.4,11174,West Asia
2019,Visiting Island & Beaches,Oman,46.8,23911,West Asia
2019,Visiting Island & Beaches,Kuwait,34,9632,West Asia
2019,Visiting Island & Beaches,Iran,16.6,46559,West Asia
2019,Visiting Island & Beaches,Canada,35,87568,America
2019,Visiting Island & Beaches,United States of America,46.3,269928,America
2019,Visiting Island & Beaches,United Kingdom,37.6,346485,Europe
2019,Visiting Island & Beaches,Ireland,38.7,19696,Europe
2019,Visiting Island & Beaches,Sweden,34.2,29592,Europe
2019,Visiting Island & Beaches,Denmark,53.7,22314,Europe
2019,Visiting Island & Beaches,Finland,50.5,13557,Europe
2019,Visiting Island & Beaches,Norway,21.8,14585,Europe
2019,Visiting Island & Beaches,Italy,39.6,54710,Europe
2019,Visiting Island & Beaches,Spain,39.4,43616,Europe
2019,Visiting Island & Beaches,France,43.9,141661,Europe
2019,Visiting Island & Beaches,Belgium,55,22082,Europe
2019,Visiting Island & Beaches,Netherlands,47.3,82110,Europe
2019,Visiting Island & Beaches,Germany,37.9,130221,Europe
2019,Visiting Island & Beaches,Switzerland,42.4,25659,Europe
2019,Visiting Island & Beaches,Russia,27,79984,Europe
2019,Visiting Island & Beaches,Australia,36.6,368271,Non Southeast Asia
2019,Visiting Island & Beaches,New Zealand,43.7,50140,Non Southeast Asia
2019,Visiting Island & Beaches,South Africa,12.3,22674,Non Southeast Asia
2019,Visiting Island & Beaches,Central Asia,22.9,35931,Non Southeast Asia
2019,Visiting Island & Beaches,Other ASEAN,1.1,170309,Southeast Asia
2019,Visiting Island & Beaches,Other East Asia,0,5331,East Asia
2019,Visiting Island & Beaches,Other South Asia,17,254822,South Asia
2019,Visiting Island & Beaches,Other West Asia,39.6,96504,West Asia
2019,Visiting Island & Beaches,Other Americas,15,49226,America
2019,Visiting Island & Beaches,Other Europe,28.5,155032,Europe
2019,Visiting Island & Beaches,Others,28.2,150216,Non Southeast Asia
2019,Shopping,Singapore,82.2,10163882,Southeast Asia
2019,Shopping,Thailand,68.9,1884306,Southeast Asia
2019,Shopping,Indonesia,71.9,3623277,Southeast Asia
2019,Shopping,Brunei,94.5,1216123,Southeast Asia
2019,Shopping,Philippines,80,421908,Southeast Asia
2019,Shopping,Vietnam,81.8,400346,Southeast Asia
2019,Shopping,China,85.9,3114257,East Asia
2019,Shopping,Japan,75.2,424694,East Asia
2019,Shopping,South Korea,93.1,673065,East Asia
2019,Shopping,Taiwan,82.3,382916,East Asia
2019,Shopping,India,84.1,735309,South Asia
2019,Shopping,Pakistan,79.5,105757,South Asia
2019,Shopping,Saudi Arabia,90.6,121444,West Asia
2019,Shopping,United Arab Emirates,86,11174,West Asia
2019,Shopping,Oman,88.2,23911,West Asia
2019,Shopping,Kuwait,96.7,9632,West Asia
2019,Shopping,Iran,72,46559,West Asia
2019,Shopping,Canada,54.7,87568,America
2019,Shopping,United States of America,62.1,269928,America
2019,Shopping,United Kingdom,69.1,346485,Europe
2019,Shopping,Ireland,61.3,19696,Europe
2019,Shopping,Sweden,66.4,29592,Europe
2019,Shopping,Denmark,65.3,22314,Europe
2019,Shopping,Finland,90.5,13557,Europe
2019,Shopping,Norway,85.5,14585,Europe
2019,Shopping,Italy,75.6,54710,Europe
2019,Shopping,Spain,74.3,43616,Europe
2019,Shopping,France,76,141661,Europe
2019,Shopping,Belgium,78.9,22082,Europe
2019,Shopping,Netherlands,72.2,82110,Europe
2019,Shopping,Germany,75,130221,Europe
2019,Shopping,Switzerland,75.3,25659,Europe
2019,Shopping,Russia,69.2,79984,Europe
2019,Shopping,Australia,64.9,368271,Non Southeast Asia
2019,Shopping,New Zealand,64.1,50140,Non Southeast Asia
2019,Shopping,South Africa,83.6,22674,Non Southeast Asia
2019,Shopping,Central Asia,79.6,35931,Non Southeast Asia
2019,Shopping,Other ASEAN,87,170309,Southeast Asia
2019,Shopping,Other East Asia,75,5331,East Asia
2019,Shopping,Other South Asia,88.3,254822,South Asia
2019,Shopping,Other West Asia,91.6,96504,West Asia
2019,Shopping,Other Americas,78.3,49226,America
2019,Shopping,Other Europe,74.8,155032,Europe
2019,Shopping,Others,87.1,150216,Non Southeast Asia
2019,Visiting Museum,Singapore,9.1,10163882,Southeast Asia
2019,Visiting Museum,Thailand,27.9,1884306,Southeast Asia
2019,Visiting Museum,Indonesia,16.4,3623277,Southeast Asia
2019,Visiting Museum,Brunei,10.5,1216123,Southeast Asia
2019,Visiting Museum,Philippines,22.1,421908,Southeast Asia
2019,Visiting Museum,Vietnam,53.7,400346,Southeast Asia
2019,Visiting Museum,China,33,3114257,East Asia
2019,Visiting Museum,Japan,31.9,424694,East Asia
2019,Visiting Museum,South Korea,24.3,673065,East Asia
2019,Visiting Museum,Taiwan,27.4,382916,East Asia
2019,Visiting Museum,India,31.8,735309,South Asia
2019,Visiting Museum,Pakistan,22.8,105757,South Asia
2019,Visiting Museum,Saudi Arabia,39.4,121444,West Asia
2019,Visiting Museum,United Arab Emirates,41.5,11174,West Asia
2019,Visiting Museum,Oman,35.9,23911,West Asia
2019,Visiting Museum,Kuwait,27.3,9632,West Asia
2019,Visiting Museum,Iran,28.4,46559,West Asia
2019,Visiting Museum,Canada,46.8,87568,America
2019,Visiting Museum,United States of America,35.4,269928,America
2019,Visiting Museum,United Kingdom,40.4,346485,Europe
2019,Visiting Museum,Ireland,24.7,19696,Europe
2019,Visiting Museum,Sweden,52.7,29592,Europe
2019,Visiting Museum,Denmark,31.6,22314,Europe
2019,Visiting Museum,Finland,29.5,13557,Europe
2019,Visiting Museum,Norway,40,14585,Europe
2019,Visiting Museum,Italy,32.1,54710,Europe
2019,Visiting Museum,Spain,37.1,43616,Europe
2019,Visiting Museum,France,35,141661,Europe
2019,Visiting Museum,Belgium,45.6,22082,Europe
2019,Visiting Museum,Netherlands,42.7,82110,Europe
2019,Visiting Museum,Germany,47,130221,Europe
2019,Visiting Museum,Switzerland,52.4,25659,Europe
2019,Visiting Museum,Russia,24.1,79984,Europe
2019,Visiting Museum,Australia,36.9,368271,Non Southeast Asia
2019,Visiting Museum,New Zealand,43,50140,Non Southeast Asia
2019,Visiting Museum,South Africa,42.5,22674,Non Southeast Asia
2019,Visiting Museum,Central Asia,27.1,35931,Non Southeast Asia
2019,Visiting Museum,Other ASEAN,37.2,170309,Southeast Asia
2019,Visiting Museum,Other East Asia,50,5331,East Asia
2019,Visiting Museum,Other South Asia,30,254822,South Asia
2019,Visiting Museum,Other West Asia,39.3,96504,West Asia
2019,Visiting Museum,Other Americas,31.7,49226,America
2019,Visiting Museum,Other Europe,34.9,155032,Europe
2019,Visiting Museum,Others,35.4,150216,Non Southeast Asia
2019,Cultural Events & Festivals,Singapore,5.5,10163882,Southeast Asia
2019,Cultural Events & Festivals,Thailand,2.9,1884306,Southeast Asia
2019,Cultural Events & Festivals,Indonesia,5.1,3623277,Southeast Asia
2019,Cultural Events & Festivals,Brunei,3.9,1216123,Southeast Asia
2019,Cultural Events & Festivals,Philippines,6.5,421908,Southeast Asia
2019,Cultural Events & Festivals,Vietnam,16.4,400346,Southeast Asia
2019,Cultural Events & Festivals,China,8,3114257,East Asia
2019,Cultural Events & Festivals,Japan,10.8,424694,East Asia
2019,Cultural Events & Festivals,South Korea,9,673065,East Asia
2019,Cultural Events & Festivals,Taiwan,2.8,382916,East Asia
2019,Cultural Events & Festivals,India,17.2,735309,South Asia
2019,Cultural Events & Festivals,Pakistan,4,105757,South Asia
2019,Cultural Events & Festivals,Saudi Arabia,20.3,121444,West Asia
2019,Cultural Events & Festivals,United Arab Emirates,11,11174,West Asia
2019,Cultural Events & Festivals,Oman,16.4,23911,West Asia
2019,Cultural Events & Festivals,Kuwait,8.7,9632,West Asia
2019,Cultural Events & Festivals,Iran,7.6,46559,West Asia
2019,Cultural Events & Festivals,Canada,6.4,87568,America
2019,Cultural Events & Festivals,United States of America,14.1,269928,America
2019,Cultural Events & Festivals,United Kingdom,15,346485,Europe
2019,Cultural Events & Festivals,Ireland,9.7,19696,Europe
2019,Cultural Events & Festivals,Sweden,16.4,29592,Europe
2019,Cultural Events & Festivals,Denmark,17.9,22314,Europe
2019,Cultural Events & Festivals,Finland,20,13557,Europe
2019,Cultural Events & Festivals,Norway,7.3,14585,Europe
2019,Cultural Events & Festivals,Italy,12.5,54710,Europe
2019,Cultural Events & Festivals,Spain,25.8,43616,Europe
2019,Cultural Events & Festivals,France,17,141661,Europe
2019,Cultural Events & Festivals,Belgium,11.7,22082,Europe
2019,Cultural Events & Festivals,Netherlands,16.1,82110,Europe
2019,Cultural Events & Festivals,Germany,23.5,130221,Europe
2019,Cultural Events & Festivals,Switzerland,28.2,25659,Europe
2019,Cultural Events & Festivals,Russia,14.3,79984,Europe
2019,Cultural Events & Festivals,Australia,12.4,368271,Non Southeast Asia
2019,Cultural Events & Festivals,New Zealand,4.2,50140,Non Southeast Asia
2019,Cultural Events & Festivals,South Africa,9.6,22674,Non Southeast Asia
2019,Cultural Events & Festivals,Central Asia,9.2,35931,Non Southeast Asia
2019,Cultural Events & Festivals,Other ASEAN,9,170309,Southeast Asia
2019,Cultural Events & Festivals,Other East Asia,16.7,5331,East Asia
2019,Cultural Events & Festivals,Other South Asia,5.8,254822,South Asia
2019,Cultural Events & Festivals,Other West Asia,20.7,96504,West Asia
2019,Cultural Events & Festivals,Other Americas,16.1,49226,America
2019,Cultural Events & Festivals,Other Europe,18.7,155032,Europe
2019,Cultural Events & Festivals,Others,16.6,150216,Non Southeast Asia
2019,Nightlife/Entertainment,Singapore,24.9,10163882,Southeast Asia
2019,Nightlife/Entertainment,Thailand,27.1,1884306,Southeast Asia
2019,Nightlife/Entertainment,Indonesia,17,3623277,Southeast Asia
2019,Nightlife/Entertainment,Brunei,20.1,1216123,Southeast Asia
2019,Nightlife/Entertainment,Philippines,33.4,421908,Southeast Asia
2019,Nightlife/Entertainment,Vietnam,16.2,400346,Southeast Asia
2019,Nightlife/Entertainment,China,46.8,3114257,East Asia
2019,Nightlife/Entertainment,Japan,18.1,424694,East Asia
2019,Nightlife/Entertainment,South Korea,44.4,673065,East Asia
2019,Nightlife/Entertainment,Taiwan,75.6,382916,East Asia
2019,Nightlife/Entertainment,India,18,735309,South Asia
2019,Nightlife/Entertainment,Pakistan,13,105757,South Asia
2019,Nightlife/Entertainment,Saudi Arabia,11,121444,West Asia
2019,Nightlife/Entertainment,United Arab Emirates,18.3,11174,West Asia
2019,Nightlife/Entertainment,Oman,7.4,23911,West Asia
2019,Nightlife/Entertainment,Kuwait,19.3,9632,West Asia
2019,Nightlife/Entertainment,Iran,11.4,46559,West Asia
2019,Nightlife/Entertainment,Canada,35,87568,America
2019,Nightlife/Entertainment,United States of America,48.5,269928,America
2019,Nightlife/Entertainment,United Kingdom,26.7,346485,Europe
2019,Nightlife/Entertainment,Ireland,21.5,19696,Europe
2019,Nightlife/Entertainment,Sweden,29.5,29592,Europe
2019,Nightlife/Entertainment,Denmark,58.9,22314,Europe
2019,Nightlife/Entertainment,Finland,30.5,13557,Europe
2019,Nightlife/Entertainment,Norway,21.8,14585,Europe
2019,Nightlife/Entertainment,Italy,24.6,54710,Europe
2019,Nightlife/Entertainment,Spain,19.5,43616,Europe
2019,Nightlife/Entertainment,France,24.2,141661,Europe
2019,Nightlife/Entertainment,Belgium,28.7,22082,Europe
2019,Nightlife/Entertainment,Netherlands,29.2,82110,Europe
2019,Nightlife/Entertainment,Germany,22.8,130221,Europe
2019,Nightlife/Entertainment,Switzerland,25.9,25659,Europe
2019,Nightlife/Entertainment,Russia,17.7,79984,Europe
2019,Nightlife/Entertainment,Australia,34.1,368271,Non Southeast Asia
2019,Nightlife/Entertainment,New Zealand,40.1,50140,Non Southeast Asia
2019,Nightlife/Entertainment,South Africa,13.2,22674,Non Southeast Asia
2019,Nightlife/Entertainment,Central Asia,6.1,35931,Non Southeast Asia
2019,Nightlife/Entertainment,Other ASEAN,8.4,170309,Southeast Asia
2019,Nightlife/Entertainment,Other East Asia,0,5331,East Asia
2019,Nightlife/Entertainment,Other South Asia,18.8,254822,South Asia
2019,Nightlife/Entertainment,Other West Asia,12,96504,West Asia
2019,Nightlife/Entertainment,Other Americas,26.1,49226,America
2019,Nightlife/Entertainment,Other Europe,21.7,155032,Europe
2019,Nightlife/Entertainment,Others,11.1,150216,Non Southeast Asia
